query,precision,recall,f1
intelligence artificielle,0.3,0.75,0.4285714285714285
machine learning,0.2,1.0,0.33333333333333337
big data,0.1,1.0,0.18181818181818182
algorithme,0.1,1.0,0.18181818181818182
moteur de recherche,0.1,1.0,0.18181818181818182
tf-idf,0.0,0.0,0.0
apprentissage profond,0.2,1.0,0.33333333333333337
deep learning,0.2222222222222222,1.0,0.3636363636363636
index inverse,0.0,0.0,0.0
cloud computing,0.1111111111111111,1.0,0.19999999999999998
cybersécurité,0.2,1.0,0.33333333333333337
blockchain,0.0,0.0,0.0
internet des objets,0.1,1.0,0.18181818181818182
réseau neuronal,0.2,1.0,0.33333333333333337
physique quantique,0.1,1.0,0.18181818181818182
chimie organique,0.1,1.0,0.18181818181818182
biologie cellulaire,0.1,1.0,0.18181818181818182
génétique,0.1,1.0,0.18181818181818182
coronavirus,0.0,0.0,0.0
vaccin,0.3333333333333333,1.0,0.5
diabète,0.2,1.0,0.33333333333333337
médecine,0.1,1.0,0.18181818181818182
neurosciences,0.1111111111111111,1.0,0.19999999999999998
climat,0.2,1.0,0.33333333333333337
réchauffement climatique,0.25,1.0,0.4
économie,0.0,0.0,0.0
finance,0.1,1.0,0.18181818181818182
e-commerce,0.1,1.0,0.18181818181818182
marketing,0.16666666666666666,1.0,0.2857142857142857
entrepreneuriat,0.25,1.0,0.4
inflation,0.14285714285714285,1.0,0.25
histoire,0.1,1.0,0.18181818181818182
art,0.1,1.0,0.18181818181818182
littérature,0.1,1.0,0.18181818181818182
musique,0.1,1.0,0.18181818181818182
MOYENNE,0.13106575963718817,0.85,0.22157699443413728
