query,model,precision,recall,f1
intelligence artificielle,TF-IDF,0.3,0.75,0.4285714285714285
machine learning,TF-IDF,0.2,1.0,0.33333333333333337
big data,TF-IDF,0.1,1.0,0.18181818181818182
algorithme,TF-IDF,0.1,1.0,0.18181818181818182
moteur de recherche,TF-IDF,0.1,1.0,0.18181818181818182
tf-idf,TF-IDF,0.0,0.0,0.0
apprentissage profond,TF-IDF,0.2,1.0,0.33333333333333337
deep learning,TF-IDF,0.2222222222222222,1.0,0.3636363636363636
index inverse,TF-IDF,0.0,0.0,0.0
cloud computing,TF-IDF,0.1111111111111111,1.0,0.19999999999999998
cybersécurité,TF-IDF,0.2,1.0,0.33333333333333337
blockchain,TF-IDF,0.0,0.0,0.0
internet des objets,TF-IDF,0.1,1.0,0.18181818181818182
réseau neuronal,TF-IDF,0.2,1.0,0.33333333333333337
physique quantique,TF-IDF,0.1,1.0,0.18181818181818182
chimie organique,TF-IDF,0.1,1.0,0.18181818181818182
biologie cellulaire,TF-IDF,0.1,1.0,0.18181818181818182
génétique,TF-IDF,0.1,1.0,0.18181818181818182
coronavirus,TF-IDF,0.0,0.0,0.0
vaccin,TF-IDF,0.3333333333333333,1.0,0.5
diabète,TF-IDF,0.2,1.0,0.33333333333333337
médecine,TF-IDF,0.1,1.0,0.18181818181818182
neurosciences,TF-IDF,0.1111111111111111,1.0,0.19999999999999998
climat,TF-IDF,0.2,1.0,0.33333333333333337
réchauffement climatique,TF-IDF,0.25,1.0,0.4
économie,TF-IDF,0.0,0.0,0.0
finance,TF-IDF,0.1,1.0,0.18181818181818182
e-commerce,TF-IDF,0.1,1.0,0.18181818181818182
marketing,TF-IDF,0.16666666666666666,1.0,0.2857142857142857
entrepreneuriat,TF-IDF,0.25,1.0,0.4
inflation,TF-IDF,0.14285714285714285,1.0,0.25
histoire,TF-IDF,0.1,1.0,0.18181818181818182
art,TF-IDF,0.1,1.0,0.18181818181818182
littérature,TF-IDF,0.1,1.0,0.18181818181818182
musique,TF-IDF,0.1,1.0,0.18181818181818182
intelligence artificielle,BM25,0.4,1.0,0.5714285714285715
machine learning,BM25,0.2,1.0,0.33333333333333337
big data,BM25,0.1,1.0,0.18181818181818182
algorithme,BM25,0.1,1.0,0.18181818181818182
moteur de recherche,BM25,0.1,1.0,0.18181818181818182
tf-idf,BM25,1.0,1.0,1.0
apprentissage profond,BM25,0.2,1.0,0.33333333333333337
deep learning,BM25,0.2222222222222222,1.0,0.3636363636363636
index inverse,BM25,0.0,0.0,0.0
cloud computing,BM25,0.1111111111111111,1.0,0.19999999999999998
cybersécurité,BM25,0.2,1.0,0.33333333333333337
blockchain,BM25,1.0,1.0,1.0
internet des objets,BM25,0.1,1.0,0.18181818181818182
réseau neuronal,BM25,0.2,1.0,0.33333333333333337
physique quantique,BM25,0.14285714285714285,1.0,0.25
chimie organique,BM25,0.1,1.0,0.18181818181818182
biologie cellulaire,BM25,0.1,1.0,0.18181818181818182
génétique,BM25,0.1,1.0,0.18181818181818182
coronavirus,BM25,1.0,1.0,1.0
vaccin,BM25,0.3333333333333333,1.0,0.5
diabète,BM25,0.2,1.0,0.33333333333333337
médecine,BM25,0.1,1.0,0.18181818181818182
neurosciences,BM25,0.1111111111111111,1.0,0.19999999999999998
climat,BM25,0.2,1.0,0.33333333333333337
réchauffement climatique,BM25,0.25,1.0,0.4
économie,BM25,0.0,0.0,0.0
finance,BM25,0.1,1.0,0.18181818181818182
e-commerce,BM25,0.1,1.0,0.18181818181818182
marketing,BM25,0.16666666666666666,1.0,0.2857142857142857
entrepreneuriat,BM25,0.25,1.0,0.4
inflation,BM25,0.14285714285714285,1.0,0.25
histoire,BM25,0.1,1.0,0.18181818181818182
art,BM25,0.1,1.0,0.18181818181818182
littérature,BM25,0.1,1.0,0.18181818181818182
musique,BM25,0.1,1.0,0.18181818181818182
